Title,cast,crew,genres,final_tag,movie_id
Homeroom,,Peter Nicks (director),Documentary,"Following the class of 2020 at Oakland High School in a year marked by seismic change, exploring the emotional world of teenagers coming of age against the backdrop of a rapidly changing world.en",776523.0
Free Guy,Ryan Reynolds,Shawn Levy,Comedy Action Adventure Science Fiction,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.en,550988.0
Respect,Jennifer Hudson,Liesl Tommy,Music Drama History,The rise of Aretha Franklin’s career from a child singing in her father’s church’s choir to her international superstardom.en,592863.0
Beckett,John David Washington,Ferdinando Cito Filomarino,Crime Mystery Thriller,An American tourist in Greece finds himself on the run after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.en,597433.0
Don't Breathe 2,Fede Álvarez (screenplay); Stephen Lang,Rodo Sayagues,Thriller Horror,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.en",482373.0
CODA,Emilia Jones,Sian Heder,Drama Music Romance,"As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.en",776503.0
Not Going Quietly,Amanda Roddy (screenplay),Nicholas Bruckman,Documentary,"An intimate, inspiring look at activist and loving father Ady Barkan, diagnosed with ALS at age 32 and who, in spite of declining physical abilities, embarks on a nationwide campaign for healthcare reform.en",736117.0
PAW Patrol: The Movie,Iain Armitage,Cal Brunker,Animation Family Adventure Comedy,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.en,675445.0
Reminiscence,Hugh Jackman,Lisa Joy,Science Fiction Mystery,"Nicolas Bannister, a rugged and solitary veteran living in a near-future Miami flooded by rising seas, is an expert in a dangerous occupation: he offers clients the chance to relive any memory they desire. His life changes when he meets a mysterious young woman named Mae. What begins as a simple matter of lost and found becomes a passionate love affair. But when a different client's memories implicate Mae in a series of violent crimes, Bannister must delve through the dark world of the past to uncover the truth about the woman he fell for.en",579047.0
The Protégé,Michael Keaton,Martin Campbell,Action,"Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.en",645788.0
Sweet Girl,Jason Momoa,Brian Andrew Mendoza,Action,"A man vows to bring justice to those responsible for his wife's death while protecting the only family he has left, his daughter.en",619297.0
The Loud House Movie,,Dave Needham,Animation Family Comedy Music Fantasy,The Loud family travel to Scotland and discover they are descendants of Scottish royalty as they move into their giant ancestral castle.en,410113.0
The Night House,Rebecca Hall,David Bruckner,Horror Thriller Mystery,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets.en",547565.0
Flag Day,Dylan Penn,Sean Penn,Drama Crime,"A father lives a double life as a counterfeiter, bank robber and con man in order to provide for his daughter.en",662712.0
Cryptozoo,Lake Bell,Dash Shaw,Animation Fantasy,"Cryptozookeepers try to capture a Baku, a dream-eating hybrid creature of legend, and start wondering if they should display these beasts or keep them hidden and unknown.en",776660.0
Habit,Josie Ho,Janell Shirtcliff,Crime Comedy Thriller,The story of a streetwise party girl who gets mixed up in a violent drug deal and finds a possible way out - by masquerading as a Catholic nun.en,682376.0
Demonic,Carly Pope,Neill Blomkamp,Horror Thriller,A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.en,774021.0
Risen,Caroline McQuade,Eddie Arya,Drama History,"Clavius, a powerful Roman military tribune, and his aide, Lucius, are tasked with solving the mystery of what happened to Jesus in the weeks following the crucifixion, in order to disprove the rumors of a risen Messiah and prevent an uprising in Jerusalem.en",335778.0
The Witcher: Nightmare of the Wolf,Theo James,Kwang Il Han,Animation Action Fantasy,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.en",666243.0
Really Love,Felicia Pride (screenplay); Kofi Siriboe,Angel Kristi Williams,Romance Drama,A rising black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.en,665894.0
Candyman,Jordan Peele,Nia DaCosta,Horror,"Anthony and his partner move into a loft in the now gentrified Cabrini-Green, and after a chance encounter with an old-timer exposes Anthony to the true story behind Candyman, he unknowingly opens a door to a complex past that unravels his own sanity and unleashes a terrifying wave of violence.en",565028.0
Vacation Friends,Tom Mullen,Clay Tarver,Comedy,"When a straight-laced couple that has fun with a rowdy couple on vacation in Mexico return to the States, they discover that the crazy couple they met in Mexico followed them back home and decide to play tricks on them.en",653349.0
He's All That,Addison Rae,Mark Waters,Romance Comedy,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.en",347626.0
No Man of God,Elijah Wood,Amber Sealey,Crime History Drama,The complicated relationship that formed between the FBI analyst Bill Hagmaier and serial killer Ted Bundy during Bundy's final years on death row.en,716594.0
Rushed,,Vibeke Muasya,Thriller,"Barbara O’Brien, an Irish Catholic mother, has her life turned upside-down when her son, a freshman in college, is involved in a tragic hazing incident. Taking justice into her own hands, she travels across the country recording mothers who have lost sons to hazing in an effort to prove the university’s liability. When she is confronted by corruption and cover ups, she seeks revenge on the one person she finds truly responsible, proving that hell hath no fury like a mother scorned.en",828305.0
Afterlife of the Party,Victoria Justice,Stephen Herek,Fantasy Comedy Drama,A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.en,785457.0
Shang-Chi and the Legend of the Ten Rings,David Callaham,Destin Daniel Cretton,Action Adventure Fantasy,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.en,566525.0
Cinderella,,"Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter",Family Fantasy Animation Romance,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!en",11224.0
Worth,Michael Keaton,Sara Colangelo,History Drama,"Kenneth Feinberg, a powerful D.C. lawyer appointed Special Master of the 9/11 Fund, fights off the cynicism, bureaucracy, and politics associated with administering government funds and, in doing so, discovers what life is worth.en",649394.0
The Gateway,Alexander Felix Bendaña,Michele Civetta,Science Fiction,"A particle physicist grieving over the loss of her husband in a car crash uses a revolutionary machine to bring him back, with dire consequences for her family.en",472744.0
